citation_key,year,category,building_or_dataset,control_assets,forecast_method,uncertainty_method,rl_or_control_method,safety_or_constraints,baselines,metrics,main_result,limitation,relevance_to_rq,link,status,notes
nweye2024_citylearn,2024,building energy RL,"CityLearn v2 grid-interactive communities","DERs including storage and HVAC-related assets",CityLearn time-series inputs,"Not the paper's primary contribution","RBC; MPC; RL benchmark environment","Scenario-defined operational limits and KPIs","RBC; MPC; RL agents","Energy flexibility; resilience; occupant-centric and carbon-aware KPIs","Presents an open benchmark environment for comparing building/community control strategies.","Framework paper; it does not establish that uncertainty-aware or shielded PPO is superior.","RQ1/RQ2/RQ3: reproducible simulator and comparative protocol",https://arxiv.org/abs/2405.03848,analysed,"Use CityLearn as an evaluation environment; pin the repository version and scenario."
lissa2021_hems,2021,building energy RL,"Calibrated single dwelling in Galway; PV and heat pump","Indoor temperature and domestic hot water control; PV self-consumption","Uses current/future environment trend for anticipatory DRL control","No calibrated prediction intervals","DRL with dynamic indoor-temperature set point","Comfort band calibrated to limit time outside set points","Rule-based control","Energy use; comfort time outside set points; load shifting; PV consumption","Reports DRL plus dynamic set point against rule-based control in a household simulator.","One case study; no explicit forecast calibration, hard safety shield, or stress-test matrix.","RQ1/RQ2/RQ3: close control setting and baseline design",https://doi.org/10.1016/j.egyai.2020.100043,analysed,"Do not reuse its savings values; use its comfort-versus-energy comparison logic."
mason2019_rl_review,2019,building energy RL,"Review of autonomous building energy-management studies","HVAC; water heating; EV charging; lighting; appliance scheduling","Varies by reviewed study","Varies by reviewed study","RL and deep RL review","Conflicting objectives and simulator design identified as challenges","Reviewed study-specific baselines","Energy and task-specific outcomes","Maps RL applications and implementation challenges in autonomous building energy management.","Review rather than a directly reproducible experiment; reported savings are not transferable.","RQ1/RQ2/RQ3: literature context and known design risks",https://doi.org/10.1016/j.compeleceng.2019.07.019,screened,"Screening source; use detailed papers rather than this review for quantitative claims."
laton2024_hems_review,2024,building energy RL,"Review of home energy-management systems with renewables and smart devices","Demand response; load scheduling; renewable integration","Varies by reviewed study","Varies by reviewed study","DRL/HEMS review","Notes deployment, security, and scalability issues","Varies by reviewed study","Cost; energy; demand-response outcomes","Recent review that frames RL as adaptive control for HEMS.","Review source; does not validate this project's selected simulator or method.","RQ3: motivates reporting limitations and deployment boundary",https://doi.org/10.3390/en17246420,screened,"Screening source; avoid treating review-level statements as experimental proof."
romano2019_cqr,2019,probabilistic forecasting,"General regression benchmarks","Not a control paper","Quantile regression plus conformal calibration","Finite-sample distribution-free marginal coverage under stated exchangeability assumptions","Conformalized quantile regression","Prediction-interval coverage is the formal target","Quantile and conformal alternatives","Coverage and interval efficiency","Combines quantile regression with conformal calibration to obtain adaptive intervals with coverage guarantees under its assumptions.","Not a building-energy or sequential-control experiment; coverage can degrade under distribution shift.","RQ1: interval construction and calibration evaluation",https://proceedings.neurips.cc/paper_files/paper/2019/hash/5103c3584b063c431bd1268e9b5e76fb-Abstract.html,analysed,"Candidate post-processing method after a baseline quantile forecaster; report empirical coverage and interval width."
ren2022_forecasting_drl,2022,"probabilistic forecasting; tariff-aware demand response","Household energy-management benchmark","Household loads; HVAC-related scheduling; renewable generation","Temperature; consumption; renewable-generation forecasts","Point forecasts only","Forecasting-based dueling DDQN scheduling","User satisfaction considered in the scheduling formulation","Compared scheduling methods in the paper's benchmark","Cost; user satisfaction; forecast-error metrics","Shows a forecast-informed RL scheduling design for household energy management.","Uses point forecasts; no prediction-interval calibration or explicit action shield; benchmark differs from CityLearn.","RQ1/RQ3: forecast-informed RL and tariff-aware stress design",https://doi.org/10.1016/j.scs.2021.103207,analysed,"Direct comparator concept: hold controller and scenario fixed, then remove uncertainty inputs."
koenker1978_quantiles,1978,probabilistic forecasting,"General regression theory","Not a control paper","Conditional quantile estimation","Quantile targets rather than a full calibrated interval guarantee","Quantile regression","None","Classical regression alternatives","Quantile loss and conditional quantiles","Establishes regression quantiles, the basis for quantile forecast intervals.","Does not prescribe a neural architecture, multi-step strategy, or finite-sample calibration mechanism.","RQ1: baseline interval forecaster",https://doi.org/10.2307/1913643,screened,"Screening source; implementation will start with quantile regression before a GRU/LSTM."
salinas2020_deepar,2020,probabilistic forecasting,"Multiple related real-world time series","Not a control paper","Autoregressive recurrent neural-network forecasts","Predictive distribution rather than interval calibration focus","DeepAR","No safety mechanism","State-of-the-art forecasting comparisons in the paper","Forecasting accuracy and probabilistic forecast quality","Demonstrates a recurrent probabilistic forecasting approach across related time series.","Generic forecasting study; it does not show calibration under building demand/PV shift or controller use.","RQ1: later GRU/LSTM-style probabilistic forecasting candidate",https://doi.org/10.1016/j.ijforecast.2019.07.001,screened,"Do not adopt before the transparent quantile baseline is evaluated."
achiam2017_cpo,2017,safe RL,"Continuous-control benchmark tasks","Continuous policy actions","Not applicable","Constraint expectation rather than forecast uncertainty","Constrained Policy Optimization","Optimizes reward subject to constraints with near-constraint-satisfaction guarantees under stated assumptions","Unconstrained policy optimization variants","Return and constraint satisfaction","Formulates policy optimization with explicit constraints rather than reward shaping alone.","Not a building study; guarantees depend on modelling and optimization assumptions and do not replace runtime protection.","RQ2: CMDP formulation and constraint reporting",https://arxiv.org/abs/1705.10528,analysed,"Use as CMDP conceptual basis; proposed CP-I controller remains PPO plus runtime shield, not CPO."
dalal2018_safety_layer,2018,safe RL,"Continuous-action safety-critical environments","Continuous policy actions","Not applicable","Learns local linear constraint models for action correction","Policy with analytical safety layer","Corrects proposed actions against constraints at each state","Reward-shaping and safe-exploration alternatives","Constraint violations and task reward","Demonstrates a runtime action-correction layer for continuous-action RL and contrasts it with reward shaping.","Assumes a learnable local linear constraint relationship; not validated for this specific building schema.","RQ2: safety-shield design and ablation",https://arxiv.org/abs/1801.08757,analysed,"Start with transparent clipping/projection and a safe fallback; log every intervention."
garcia2015_safe_rl_survey,2015,safe RL,"Survey across safe RL settings","Varies by reviewed study","Not applicable","Risk and constraint approaches surveyed","Safe RL survey","Separates modified optimality criteria from modified exploration processes","Varies by reviewed study","Safety and return concepts","Provides a taxonomy of safe RL approaches and their trade-offs.","Survey predates many recent methods and is not specific to buildings or forecast uncertainty.","RQ2: terminology and threat model",https://jmlr.csail.mit.edu/papers/volume16/garcia15a/garcia15a.pdf,screened,"Screening source; final method claims require direct experimental evidence."
govindia2023_tod,2023,tariff-aware demand response,"India policy context; not a simulation dataset","Consumer demand shifting and storage incentive context","Not applicable","Not applicable","Policy document","Tariff design and implementation rules","Not applicable","ToD tariff design parameters","Defines ToD tariff policy context including peak and solar-hour signals.","Not a building controller experiment and not a substitute for a state-specific tariff schedule.","RQ3: tariff-perturbation motivation and India-context boundary",https://powermin.gov.in/sites/default/files/uploads/RS0108.2023_Eng.pdf,screened,"Use simulated tariffs; do not claim CityLearn tariff values represent any Indian state."
